companies,ids
If,46a1641f0000640005005d6a
Alka,469064bc0000640005000a26
Tryg,46914a470000640005001a7a
Codan,469921730000640005003ac6
topdanmark,46907a740000640005001091
AlmBrand,4690534500006400050002d9
Gjensidige,4b400bea00006400050531f2
PostNord,521c7a6e0000640005768626
HBONordic,50865d1500006400051d9e53
Netflix,502b68f3000064000519923c
Viaplay,4d6950ef00006400050ed501
YouSee,46fa37aa000064000501acdb
TDCErhverv,4690535c00006400050002fe
Telenor,46dac0c40000640005010d1f
DSB,4691bbf900006400050020aa
SAS,46cb5ee10000640005009544
DanskeBank,4690538b000064000500032c
Nordea,469052610000640005000159
KLM,46d5b8b8000064000500d66e
DHL,469071110000640005000e6b
Elgiganten,4ab2303300006400050020af
DBA,46dac0c40000640005010d1f
Rejsekort,4ab2303300006400050020af
Rejseplanen,469921940000640005003c80
Skat,470bce96000064000501e32d
DR,4690598c00006400050003ee
Politi,46905379000064000500030f
DMI,46a16b730000640005008105
TV2Play,503cddbc00006400051a35a9
TV2,4690703e0000640005000d4c
DPlay,55fae0410000ff0005836aa7
Viagogo,4d11bb7800006400050e4b5a
Mate,587381110000ff00059a7856
Spigo,46d2b21a0000640005009a08
Cdon,46b6094c000064000500933a
Ticketmaster,469147450000640005001917
3gz,4cadc71300006400050df6be
